,w,C,gamma,accuracy
fold_id0,0.30000000000000004,10.0,1.0,0.5428571428571428
fold_id1,0.30000000000000004,1000.0,0.001,0.6857142857142857
fold_id2,0.30000000000000004,1000.0,0.001,0.6
fold_id3,0.30000000000000004,10.0,1.0,0.6571428571428571
fold_id4,0.30000000000000004,10.0,0.1,0.5294117647058824
fold_id5,0.4,10.0,1.0,0.5588235294117647
fold_id6,0.55,1000.0,10.0,0.6764705882352942
fold_id7,0.30000000000000004,100.0,0.1,0.6176470588235294
fold_id8,0.30000000000000004,1000.0,0.001,0.5882352941176471
fold_id9,0.4,1000.0,0.1,0.5294117647058824
